uid,Advert-奖励,BuildRoomMgr-AddRoom,BuildRoomMgr-StartRoom,LBS-创建boss战,LBS-创建电站,LBS-加声望,LBS-开始BOSS战,LBS-挑战完成,LBS-赛季结算,LBS-销毁电站,NewRewardGet-无效的领取奖励码,RPC-BOSS战模式,RPC-匹配模式,RPC-团队生存模式,RPC-大球匹配模式,RPC-新手大球匹配模式,RPC-新手自由匹配模式,RPC-机器人匹配模式,RPC-自由匹配模式,RPC-闪电战模式,Redis-responseError,SHOW-增加经验,Show-增加最炫次数,VIP-宝箱领取成功,VIP-更新经验,VIP-购买卡成功,advert-奖励,advert-用户可看到广告,advert-用户点击广告,lbs-boss状态变更,lbs-上传位置不可信,lbs-生成个人特供怪,lbs-速度限制切换后台,七日签到-补签-货币数量不足,上报-统计数据,上线-已在线,下线-退出队伍-转发给队长,下线-队长下线,个推-发送结果,二级密码-验证成功,人气-增加人气,任务-增加进度,"传输数据错误:{""error"":""partial-write:",保底转盘-保底转盘抽奖成功,信息-本地安装信息,修改-验证手机成功,充值-IOS充值回调成功,充值-ios票据回调开始,充值-发起订单,充值-回调充值超时成功,充值-支付成功,充值-收到回调,充值-未注册用户,关注-关注id错误,关系-id错误,关系-添加关注,分享-已绑定创建小号,分享-是非法小号,分享-模拟器用户,分享-结算-还需玩几局,分享-设置模拟器标识,分享-超过最大被查看次数,加入-大号加入小号,匹配-加入队伍,匹配-开始游戏,匹配-新建房间,匹配-超时-开始游戏,发现-低热门推荐发现玩家,发现-发现关注,发现-标签推荐发现玩家,发现-热门推荐发现玩家,发现-相同兴趣发现玩家,发现-附近发现玩家,合成-合成道具成功,合成-完成,听众-增加听众,商店-删除材料道具时间,商店-加经验,商店-已领取完成,商店-开CD宝箱,商店-开珍宝箱,商店-开钻石宝箱,喜欢-免费,喜欢-统计,回归活动-活动时间已经结束,回归活动-游戏次数或段位不够,回归活动-设置二次回归,回归活动-设置回归,回归活动-领取奖励成功,团战生存-开始匹配,团战生存-断线重连,团战生存-队伍人数已满,团战生存-队伍已满,团战生存-队长下线,团队生存-不能拒绝自己队伍,团队生存-匹配中,团队生存-匹配加入队伍,团队生存-匹配发送同步信息,团队生存-匹配开始游戏,团队生存-匹配新建房间,团队生存-已在其它队伍,团队生存-已在房间,团队生存-收到同步信息,团队生存-未找到匹配房间,团队生存-模式错误,团队生存-重新加载数据,团队生存-队伍已解散,大奖赛-匹配,大奖赛-开始游戏,大奖赛-当前轮次结算,大奖赛-生成邀请码,大奖赛-超时领取奖励,大奖赛-重新加载数据,大球匹配-加入匹配房间,大球匹配-匹配,大球匹配-匹配开始游戏,大球匹配-匹配等待中,大球匹配-开始匹配,大球匹配-开始比赛,大球匹配-新建房间,大球模式-断线重连,宝箱-删除团队宝箱,宝箱-开启成功,宝箱-开宝箱掉落,宝箱-添加成功,宝箱-清CD成功,宝箱-获取宝箱失败,宝箱-获取宝箱失败或不在cd中,宝箱-领取失败,宝箱-领取成功,封禁-账号被封,展示-未加任何队伍,巅峰团战-不是团战或者类型不一致,巅峰团战-处理增加入场券计数,幸运轮盘-购买成功,幸运轮盘-达到日上限,幸运轮盘-领取周奖励成功,序列-不计算,序列-获取,序列-设置,强制关注-关注间隔时间未到,强制关注-获取附近的人失败,战队-创建战队,战队-删除失败,战队-加入战队,战队-开始游戏,战队-战队已解散,战队-邀请加入战队,战队-队员积分变化,房间-不能中途加入,房间-加入游戏,房间-只有邀请才能加入,房间-密码错误,房间-已解散,房间-开始游戏,房间-房间已满或重复进入-添加失败,房间-断线重连,房间-未找到邀请列表,房间-权限不够,房间-权限不够-邀请失败,房间-自建房间还未结束,"房间结束-观战房间结束,",扔棒棒糖-活动重置数据,技巧训练-单机技巧结算,技巧训练-开始检查扣分,技巧训练-技巧升级,技巧训练-技巧赛季结算,技巧训练-计算积分加成,挂机治理-扣除信誉,推送-发送成功,改名-修改成功,改名-玩家修改用户名,改密码-修改密码成功,数值-增加,数值-增加送礼积分,数值-扣除,数据-强制关注列表,数据-添加关注,数据-赛季不一致,数据预警-解析日志失败,新手匹配-设置新手匹配状态,新手大球-新手大球匹配档位,新手大球匹配-加入匹配房间,新手大球匹配-匹配,新手大球匹配-匹配等待中,新手大球匹配-开始匹配,新手大球匹配-断线重连,新手自由-新手自由匹配档位,新手自由匹配-加入匹配房间,新手自由匹配-匹配,新手自由匹配-匹配开始游戏,新手自由匹配-匹配等待中,新手自由匹配-开始匹配,新手自由匹配-开始比赛,新手自由匹配-断线重连,新手自由匹配模式-更新段位数据,新手自由匹配模式-检查分流情况,更新-添加房间,服务-未找到玩家,服务-未找到玩家所在服务器,查看-胡萝卜,梦幻挑战-抽卡产出,段位-升级,注册-创建球球号,注销-下线,注销-玩家下线,活动-十连抽,活动-球球树可浇水次数不足,活动-球球树达到重置次数,活动-球球树重置任务-蘑菇不足,活动-累计充值配置错误,游戏-断线重连,特惠礼包-生成订单,玩家-连接超时,留言-点赞,留言-点赞成功,留言-留言成功,登录-上线,登录-初始化成功,登录-发现重复登录,登录-已绑定-仅账号登录,登录-已绑定-密码错误,登录-找不到注册设备号,登录-指令回放,登录-收到初始化,登录-收到登录请求,登录-新签名错误,登录-未绑定-密码-设备号错误,登录-版本太低,登录-登录验证成功,登录-绑定服务器,登录-认证通过,登录-账号被封,登录-防沉迷中,登录-验证session失败,皮肤工坊-单次打造结果,皮肤工坊-打造结果,相册-删除照片,短信-发送成功,碎片商店-道具不足,礼物-获得礼物,离线同步-上线同步,离线同步-无效群组,签到-签到成功,签到-设置连续签到次数,签到-领取奖励成功,系统通知-上线同步,系统通知-发送成功,组队-不在邀请列表中,组队-创建队伍,组队-发送同步信息,组队-已在其它人队伍中,组队-开始匹配,组队-开始游戏,组队-收到同步信息,组队-队伍人数已满,组队-队伍已满,组队-队长已开始游戏,经验-增加,绑定-绑定成功,绑定-绑定手机成功,结算-Boss模式,结算-bigball,结算-勇者积分,结算-团队生存,结算-团队生存个人结算,结算-团队生存勋章,结算-大奖赛,结算-新手大球模式,结算-无效局,结算-更新能力值,结算-组队统计,结算-结算成功,结算-结算无效,结算-结算生存成功,结算-自由/组队,统计-结算,综合评分-赛季结算,群组-定时清除非活跃群,聊天-创建聊天群组,聊天-加入群组,聊天-加入聊天群组,聊天-没有聊天权限,聊天-离开群组中没找到该玩家,聊天-离开聊天群组,聊天-私聊,聊天-私聊发送成功,聊天-私聊权限不是互关好友无法聊天,聊天-群聊,聊天-获取查找不到该群组信息,聊天-获取群组中没找到该玩家,聊天-语音,聚宝盆-兑换,聚宝盆-初始化数据,聚宝盆-聚宝,聚宝盆-转转盘,自建房-段位不够,自由匹配-加入匹配房间,自由匹配-匹配,自由匹配-匹配-超时-开始游戏,自由匹配-匹配开始游戏,自由匹配-匹配等待中,自由匹配-开始匹配,自由匹配-开始比赛,自由匹配-收到同步信息,自由匹配-新建房间,自由匹配-获取数据,自由匹配-重新加载数据,观战-创建新的观战房间,观战-观战结束没连网关,解锁技巧-触发条件解锁,订阅-订阅成功,许愿池2-当前不是许愿状态,许愿池2-许愿成功,设备-添加本地设备,访问-显示访问,访问-隐藏访问,请求广告-不播放广告,请求广告-在不看广告冷却期,请求广告-在领奖冷却期,请求广告-概率控制,请求广告-没有玩过游戏,请求广告-玩游戏时间过长,购买-数值不足,贵族-升级,赛事-增加经验,赛事-打call券不足,赛事-打call失败,赛季-加分-赛季结束,赛季-团队生存结算,赛季-结算成功,赛季-重置,赠送-检测赠送失败,转发-未找到玩家,转发-获取玩家所在网关失败,转发-转发通知成功,转发-重复发送,送礼-初始化充值蘑菇,送礼-获取有价值人气值,送礼-送礼金钱不足或送礼功能被封,通知-回调游戏成功,通讯录-邀请过期,道具-删除成功,道具-加载皮肤,道具-批量删除,道具-批量添加,道具-添加成功,道具-激活成功,道具-购买成功,道具-超时删除,铁匠铺-加幸运值,铁匠铺-加经验,门票-数量不足,门票-购买成功,防沉迷-通知,雷达-玩家没有上传位置信息不能使用雷达,雷达-玩家通过雷达扫描到,雷达-用户打开雷达,飞船-加经验,骂人治理-骂人处理,黑卡-成功情况1,黑卡-设置活跃玩家
739536138,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,13,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,3,,,1,,,,1,,,,,1,,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,2,3,,,,,,,,,,,,1,,,1
747314186,,,,,,,,,,,,,4,,,,,,,1,49,,,,,,,,,,,,,,68,,1,,,,,8,,,,,,,,,,,,,,3,,,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,9,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,7,,1,,3,,1,,,,,,,,,,,,,,,,,,,1,,,,,,3,4,,,,,4,,,,,,,3,4,,,,,,1,56,,,,28,4,4,1,,,,,,,,,4,,,,,,,,6,9,8,4,2,7,1,,,5,,,,5,4,,,,,,,4,4,4,,1,4,,,,3,,1,,,2,,,,,1,2,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,13,,5,3,,,,,,,1,2,,,,,,,4
748362920,,,,,,,,,,,,,,,,,,1,,,7,,,,,,,,,,,,,,12,,,,,,,4,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,1,,,1,,,,1,1,,,,,,,3,,,,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,1,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,1
748821494,,,,,,,,,1,,,,,,,,,1,,,18,,,,,,,,,,,,,1,36,,,,,,,9,,,2,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,,,1,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,10,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,,,,6,,,1,,,,1,6,,,,,,,1,,,,,6,6,,,,,,,,,,6,,,,,,,,,,,,1,,,,,1,1,1,,,,,,,,,,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,,,,,,1,,,,1,,1,,8,6,,,,,,,,,,,,,,,1
755573294,,,,,,,,,,,,,13,15,,,,,,,74,1,,,,,,,,,,,,,236,,,1,,,,19,,,,,,,,,,,,,,,,,,,14,,,13,,,,,,,,,,,,,,,,,,,45,49,64,,,,,14,1,,,,,,10,12,2,3,,,12,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,17,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,22,1,,,,22,4,,5,,,,14,22,,,,,,,8,,,,7,22,22,,,,,,,,,2,22,,,,,,,,23,20,1,12,9,11,,,,8,,,,,9,9,9,4,,,1,12,9,9,4,,13,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,27,,,,,,,,,40,,10,8,3,2,,,,,,2,,,,,,,19
764346355,,,,,,,,,,,,,,,1,,,,,,61,,,,,,,,,,,,,,35,,,,,1,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,9,1,,,,1,2,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,3,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,24,,7,,,,1,,,,,,,,,,,,,,,,,,,,,,7,,,1,2,1,,,,2,,,2,,,,1,2,,,,,,,,,,,,2,2,,,,1,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,19,1,2,44,20,13,,,,,,,,,,,,,,
765880555,,,,,,,,,,,,,,19,,,,,,,36,,,,,,,,,,,,,,88,,,,,1,,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,19,,,,,,,19,17,,,,,17,,,1,4,,,,,,,,,,,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,1,,,,5,,,4,,,,9,5,,,,,,,17,,,,16,11,11,,,,,,,,,1,11,,1,,,,,,,,,,2,,,,,,,,,,,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1,,,,,,,,,,,,19,,26,,,,,,1,24,,4,2,,,,,,,,1,,,,1,,,11
777052089,,,,,,,,,,,,,,2,1,,,,,1,65,,,,,,,,,,,,,1,87,,,,,,,12,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,8,2,,2,,1,1,2,38,,,,,2,,1,,,,,1,1,,1,,,1,,,,,,,,,,,,,,,1,,1,,,2,,3,1,,,,2,,,,,11,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,1,,,,3,,,,,,,2,3,,,,,,,4,,,,4,3,3,,,,,,,,,1,3,,6,,1,,,,,,,,2,,,,,1,,,,1,,2,2,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,5,1,1,,,,,,,5,,,,,,,,16,4,,68,33,17,1,,,,,1,,,,,1,,,3
784164920,,,,,,,,,,,,,4,,3,,,,,,19,,,,,,1,1,1,,,,,,55,,,,,,,13,,,,,,,,,,,,,,2,,,,,1,,,4,,,,,,,,,,,,,4,2,,1,,1,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,3,,,,,1,4,2,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,28,3,39,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,1,,,1,,,3,2,1,,,,,,,5,,,,4,2,2,,,,,,,,,3,2,,6,,2,,,,4,12,,4,,10,,,,4,,,,3,4,,,,,,,4,4,1,3,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,33,24,2,1,1,,,,,1,,,,,,,4
795132385,,,,,,,,,,,,,,2,4,,,,,1,54,5,,,,,,,,,,,,,75,,,,,,,9,,,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,1,2,1,10,1,,,,1,1,1,,,,,,1,,,,,,,2,2,,,,,2,1,,,,,,,,,,3,3,,3,4,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,5,,,,,,,,,23,,16,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,10,1,,,,5,,,1,,,,6,5,,,,,,,7,,,,3,10,10,,,,,,,,,,10,,7,,1,,,,,,,,2,,,,,1,,,,4,,2,2,,,,,,,,,1,,,,,1,,2,,,15,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,31,,,,,,,,1,,,,,,,,,12,,,,,,,,10,11,1,54,37,10,4,1,2,2,,1,,,,,,,,2
797844842,,,,,,,,,,,,,,,,,,1,,,4,,,,,,,,,,,,,,14,,,,,,,7,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,2,1,,,,2,,,1,,,,1,2,,,,,,,1,,,,,2,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,4,1,,,,,,,,,,,,,,,1
802361986,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,2,,,,,,1,,,,,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,7,,,,,,,,,,,,,,
831583162,,,,,,,,,,,,,1,4,,,,1,1,4,77,3,,1,,1,,,,,,,,,138,,,,,,,10,,,,,,,1,1,1,1,,,,1,,,,,3,,,1,,,,,,,,,,3,,,5,3,,3,,,2,2,52,,,,,4,,,,,,,4,3,,,,,3,,,,,,,,,,,,,,,,,,,,3,1,3,,,,,3,,,3,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,42,1,19,,,,,,,,,,,,,,,,,,,,,4,,,,,9,1,,3,3,2,,,,3,,,1,,,,3,3,,,,,,,15,,,,13,3,3,,,,1,1,,,,1,3,,1,,,,1,,2,1,1,1,2,,,,,7,,,,,2,4,4,2,,,,1,1,3,1,4,4,,,,,,,,,,,1,,,,,,,,,,,1,1,,,1,2,,1,1,2,,3,,,,,1,,,,52,,,,,,,,22,3,3,,,,,,,4,1,,,,,1,,28,13,3,74,37,29,2,,,,,,,,,,,,,7
836201355,,,,,,,,,,,,,12,,1,,,,,,121,1,,,,,,,,,,,,,132,,,,,,,15,,,,,,,,,,,,,,,,,,,5,,,11,,1,,,,,,,,4,,,11,11,,10,,1,4,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,1,,1,1,,,,,8,2,8,8,,,,10,,,9,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,9,,,,,,41,,20,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,5,5,1,,,,5,,,1,,,,5,5,,,,,,1,11,,,,11,5,5,,,,1,1,,,,,5,,1,,,,,,14,20,,12,1,11,,,,6,,,,2,10,,,,,,,12,10,9,3,,12,,,,1,,1,,,1,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,29,1,1,,,,,,,18,,,,,,,,35,13,4,56,63,7,1,,,,,,2,,,,,,,8
841921842,,,,,,,,,1,,,,,2,,,,,,,3,,,,,,,,,,,,,,12,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,2,,,,,,,2,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,1,1,,,,,,,2,,,,2,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,2,,3,4,,,,,,,,,,,,1,,,2
846246555,,9,,,,,,,,,,,8,,1,,,,,,62,,,,,,,,,,,,,1,80,,,,,,,16,,,,,,,,,,,,,12,6,,,,,4,,,6,,2,,,,,,,,,,,5,9,,9,,,5,5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,7,,8,8,,,,9,,,8,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,1,,,7,,5,,,,,,39,,32,,6,,1,,,,,,,,,,,,,,,,,,,3,,,,,,3,4,1,,,,4,,,1,,,,3,4,,,,,,,13,,,,,4,4,,,,,,,,,,4,,2,,,,,,7,10,9,6,3,8,,,,6,,,,1,8,,,,,,,8,8,6,2,,8,,,,6,,7,,,20,1,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,5,,,,,,,,,3,,,,,,,,7,15,7,61,58,3,1,,,,,,2,,,,,,,7
862937642,1,,,,,,,,1,,,,,,,,,1,,,5,,,,,,,,1,,,,,,15,,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,2,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,1,,,1,,,,1,1,,,,,,,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,,2,1,,,1,,,,,,,,,,,,1
874638089,,20,20,,,,,,1,,,,4,12,,,,,8,1,94,2,,,,,,,,,,,,,204,,,,,,,19,,,1,,,,,,,,,,2,3,,,,,6,,,4,,,,,,,,,,,9,,8,5,2,6,,1,2,2,,,,1,3,12,,,,,,,12,11,,,,,11,,,,1,,,,,,,,,,,,,,,,5,1,7,,,,1,6,,,12,,,,,2,,,34,5,,,,,,,,,,,,,2,,,,,,,,,12,,,,,,,,,,51,,18,,3,1,5,,,,,,,,,,,,,,,,,16,,,,,14,2,,5,5,1,,,,6,1,,1,,,,5,6,,,,,,,21,,,,12,6,6,,,,,,,,,,6,,1,,,,,,4,8,3,4,5,5,,,,6,,,,,8,12,12,4,,,,4,4,8,6,1,12,,1,,,,,,,,,,,,,,,,1,,,,8,7,,,8,8,,7,,8,,1,,5,,,1,,,,,,,,,,,,8,,,1,1,1,1,,,1,,,,,,,,29,30,,91,83,6,2,,9,9,,,2,,,,2,,,21
964940955,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,5,,,,,,,3,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,2,1,1,,1,,,,,,,,,,,,
976981962,,,,,,,,,1,,,,,,,,,1,,,19,,1,,,,,,,,,,,,25,,,,,,,5,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,1,,,,1,,,,,,,1,1,,,,,,,1,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,,4,1,,,,,,,,,,,,,,,
977146720,,,,,,,,,1,,,,,,,,,2,,,13,,1,,,,,,,,,,,,5,,,,,,,10,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,9,,,,,,,,2,4,,,,,4,,,,,,,2,4,,,,,,,7,,,,1,4,4,,,,,,,,,,4,,1,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,1,,2,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,2,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,3,,2,1,,,,,,,,,,,,,,,
977402338,,,,,,,,,,,,,,,,,,,3,,21,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,2,2,,,,,2,,,,,,,2,2,,,,,,,20,,,,8,2,2,,,,,,,,,,2,,1,,,,,,,,,,,,,,,4,,,,,1,,,,,,1,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,3,3,,,3,3,,3,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,1
985355338,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,66,,,,,,1,1,,,,,,,,,,,,,,2,,,,,7,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,3,,,,,,,3,3,,,,,3,,,,,,,,,,,7,6,,7,7,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,9,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,6,7,1,,,,8,,,,,,,6,8,,,,,,,5,,,,1,7,7,,,,,,,,,,7,,1,,,,,,,,,,2,,,,,,,,,7,,1,1,,,,,,,,,,,,,,2,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,14,,12,8,1,,,,,,1,2,,,,,,,1
